Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,mes_entrevista
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,11
,,,,,,24012.308054568697,15506.473518271681,,13793.338769285525,,12135.650021518044,,9237.127767720332,,7810.718421759295,,7956.195690012499,,11
,,,,,,10406.81512875569,6685.178014680552,,5888.35277242285,,5198.160462263026,,3995.9492150355236,,3328.7522826928684,,3430.9515009864863,,11
,,,,,,13605.49292581299,8821.295503591125,,7904.985996862676,,6937.48955925501,,5241.178552684809,,4481.966139066426,,4525.244189026011,,11
,,,,,,24012.308054568697,15506.473518271681,,13793.338769285525,,12135.650021518044,,9237.127767720332,,7810.718421759295,,7956.195690012499,,11
,,,,,,1735.7045546828922,1194.3090166993618,,1076.6523097833167,,1208.1916136915725,,840.3526276237628,,815.9662496589496,,868.6464971434092,,11
,,,,,,2268.6729766715193,1400.562072776355,,1306.4714546885498,,1223.4445188525563,,875.8449046802554,,772.2371817782862,,762.6848187999628,,11
,,,,,,4296.956701247115,2674.0501659503584,,2330.513608940735,,1990.6247392935397,,1484.812855533762,,1247.7696606408024,,1311.8185758365623,,11
,,,,,,12149.556778142394,7786.126171740589,,6824.362021119404,,5744.556150076561,,4387.213065519914,,3612.1584213783717,,3627.8210571182535,,11
,,,,,,3561.417043824768,2451.426091105014,,2255.339374753519,,1968.8329996038046,,1648.904314362637,,1362.5869083028888,,1385.224741114306,,11
,,,,,,24012.308054568697,15506.473518271681,,13793.338769285525,,12135.650021518044,,9237.127767720332,,7810.718421759295,,7956.195690012499,,11
,,,,,,20450.891010743915,13055.047427166664,,11537.999394532006,,10166.817021914234,,7588.223453357701,,6448.1315134564065,,6570.970948898192,,11
,,,,,,3561.417043824768,2451.426091105014,,2255.339374753519,,1968.8329996038046,,1648.904314362637,,1362.5869083028888,,1385.224741114306,,11
,,,,,,24012.308054568697,15506.473518271681,,13793.338769285525,,12135.650021518044,,9237.127767720332,,7810.718421759295,,7956.195690012499,,11
,,,,,,9674.587942436572,6311.659556178074,,5815.691615308965,,5275.086898564105,,3981.6289174949784,,3275.056065848433,,3536.369155912064,,11
,,,,,,13980.966363750738,8996.996718778093,,7805.100661648494,,6716.392785677183,,5144.241363440013,,4460.642116422078,,4331.26763501356,,11
,,,,,,24012.308054568697,15506.473518271681,,13793.338769285525,,12135.650021518044,,9237.127767720332,,7810.718421759295,,7956.195690012499,,11
,,,,,,7877.641931692336,5384.199151674597,,4837.796755666782,,4613.692532280517,,3475.5959335652537,,3030.567446199344,,2994.0564783511654,,11
