Indicador,Nível Territorial,Abertura Territorial,Variável de abertura 1,Categoria de abertura 1,Variável de abertura 2,Categoria de abertura 2,Valor,mes_entrevista
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Sexo,Total,-,-,100.0,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Sexo,Homem,-,-,43.339503662479636,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Sexo,Mulher,-,-,56.66049633752033,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,Total,-,-,100.0,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,7.228395332670447,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,9.447958819768147,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,17.894809159878143,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,50.59720519382045,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,14.831631493862819,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade 2,Total ,-,-,100.0,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,85.1683685061372,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,14.831631493862819,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Cor ou Raça,Total4,-,-,100.0,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Cor ou Raça,Branca,-,-,40.290120884884495,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Cor ou Raça,Preta ou parda,-,-,58.22416708955493,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Total,-,-,100.0,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,32.80668361321268,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,16.33865302034987,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,34.81699278586134,5
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,16.037670580576165,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Sexo,Total,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Sexo,Homem,-,-,0.6719983317033071,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Sexo,Mulher,-,-,0.5140102194754311,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,Total,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,2.6007858359645026,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,1.9406551432560704,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,1.4438971760565271,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,0.6120582933376372,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,1.506248070381686,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade 2,Total ,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,0.2623053219181167,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,1.506248070381686,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Cor ou Raça,Total4,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Cor ou Raça,Branca,-,-,1.0785894147593362,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Cor ou Raça,Preta ou parda,-,-,0.7676801405821363,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Total,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,1.087550582099782,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,1.6374714196299434,5
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%),País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,0.9904162549875429,5
